indicator,n_obs,fixed_order_aic,best_order,best_order_aic,best_order_aicc,n_nonconverged_excluded,matches_111
life_expectancy_birth_yrs_who,22,-39.50803847443764,"(0, 2, 1)",-40.480980358743416,-39.849401411375,4,False
hale_birth_yrs,22,-38.40182115538326,"(0, 2, 1)",-39.04662689785579,-38.41504795048737,2,False
u5mr_who,92,-852.994551181788,"(2, 2, 0)",-914.0645292857067,-913.7918020129795,6,False
ncd_premature_pct,22,-132.16076538317307,"(1, 0, 0)",-134.458542594309,-133.12520926097565,6,False
ncd_3070_probability_pct,22,-129.56176214080702,"(0, 1, 2)",-129.56832607453237,-128.23499274119902,10,False
total_ncd_deaths,22,-131.86541858947226,"(1, 1, 1)",-131.86541858947226,-130.5320852561389,7,True
suicide_rate_crude_who,22,-80.1327528329107,"(1, 1, 0)",-79.83450815197905,-79.20292920461063,2,False
suicide_rate_agestd_who,22,-83.617877878906,"(1, 1, 0)",-85.18038378947048,-84.54880484210206,3,False
tb_incidence_per100k,25,-181.30249840302787,"(2, 1, 0)",-181.7137933403035,-180.57093619744637,9,False
hiv_new_infections_n,25,-90.5622763871418,"(1, 1, 2)",-89.92015528580323,-87.92015528580323,4,False
hiv_new_infections_per1000,35,-105.20557553584844,"(2, 2, 0)",-104.06022359549068,-103.28603004710358,8,False
malaria_incidence_per1000atrisk,24,-82.72863243635773,"(2, 1, 0)",-85.43892942837023,-84.23892942837023,2,False
oop_pct_che,23,-6.587176801025491,"(1, 0, 0)",-9.530661950175608,-8.267504055438765,4,False
oop_percapita_usd,23,11.137076516659741,"(1, 1, 0)",9.592787053887427,10.192787053887427,2,False
che_pct_gdp,23,-11.771157105428827,"(0, 1, 1)",-13.759629485873106,-13.159629485873106,1,False
che_percapita_usd,23,-4.467353081599631,"(1, 1, 0)",-5.559264401956744,-4.9592644019567445,3,False
life_expectancy_birth_yrs_wb,64,-41.08553344825936,"(2, 2, 0)",-46.729841915684204,-46.329841915684206,2,False
suicide_rate_wb,22,-80.29300954620963,"(1, 1, 0)",-80.04156821097354,-79.40998926360511,2,False
che_pct_gdp_wb,23,-11.771157105428827,"(0, 1, 1)",-13.759629485873106,-13.159629485873106,1,False
tfr_national_wb,64,-435.2195820846418,"(1, 1, 0)",-436.87649261496836,-436.67977130349294,7,False
pm25_exposure_wb,31,-48.88603929477841,"(0, 0, 1)",-59.056688269214945,-58.16779938032606,3,False
